DocumentId,PartnerId,DocumentDate,City,Sales
758253,8501,1/10/2022,GHIMBAV,737
758255,8456,1/10/2022,SINAIA,"1,955"
758273,11301,1/10/2022,RUPEA,488
758275,864,1/10/2022,MIERCUREA CIUC,798
758288,6246,1/10/2022,TARGU JIU,22
758293,6246,1/10/2022,CAMPU LUI NEAG,328
758296,6246,1/10/2022,TARGU JIU,114
758304,690,1/10/2022,SOVATA,509
758309,7189,1/10/2022,BUCURESTI SECTORUL 3,123
758318,8655,1/10/2022,MIERCUREA CIUC,300
758336,1106,1/10/2022,SUCEAVA,925
758339,6015,1/10/2022,TARGU MURES,410
758345,10920,1/10/2022,SICASAU,267
758364,10470,1/11/2022,TARGU MURES,323
758366,1106,1/11/2022,SUCEAVA,996
758383,650,1/11/2022,PETROSANI,"2,311"
758393,1098,1/11/2022,BUCURESTI SECTORUL 6,"-2,428"
758396,492,1/11/2022,BRASOV,941
758414,1098,1/11/2022,BUCURESTI SECTORUL 6,"2,428"
758418,11255,1/11/2022,HARLAU,475
758432,11255,1/11/2022,HARLAU,910
758457,5904,1/11/2022,CLUJ NAPOCA,788
758459,1098,1/11/2022,BUCURESTI SECTORUL 1,114
758461,1098,1/11/2022,BUCURESTI SECTORUL 1,114
758466,624,1/11/2022,MOISEI,618
758473,6955,1/11/2022,TURENI,415
758480,7827,1/11/2022,SFANTU  GHEORGHE,124
758494,316,1/11/2022,TIMISOARA,490
758498,12083,1/11/2022,MIERCUREA CIUC,54
758502,9890,1/11/2022,PREDEAL,154
758504,7287,1/11/2022,TARGU MURES,208
758506,7287,1/11/2022,TARGU MURES,208
758519,8231,1/11/2022,SATU MARE,468
758534,591,1/11/2022,MIERCUREA CIUC,305
758540,1098,1/11/2022,BUCURESTI SECTORUL 1,"1,116"
758542,7021,1/11/2022,BECLEAN,477
758555,438,1/11/2022,ODORHEIU SECUIESC,246
758559,1098,1/11/2022,BUCURESTI SECTORUL 5,429
758562,10766,1/11/2022,POIENILE DE SUB MUNTE,887
758582,11859,1/11/2022,BRASOV,606
758604,12115,1/11/2022,BUCURESTI SECTORUL 6,302
758611,10341,1/11/2022,DARABANI,"2,302"
758641,1098,1/12/2022,BUCURESTI SECTORUL 3,"1,467"
758643,6727,1/12/2022,TARGU SECUIESC,272
758654,6557,1/12/2022,DUMBRAVITA,446
758657,10949,1/12/2022,LUGOJ,"1,007"
758659,1018,1/12/2022,SIGHETU MARMATIEI,"1,507"
758690,162,1/12/2022,SOVATA,978
758692,723,1/12/2022,MOINESTI,734
758694,1139,1/12/2022,CRISTESTI,801
758701,10776,1/12/2022,GALATI,277
758706,4624,1/12/2022,DETA,992
758709,1018,1/12/2022,SIGHETU MARMATIEI,128
758725,10771,1/12/2022,TURDA,"1,456"
758732,5390,1/12/2022,TARGU MURES,431
758737,10691,1/12/2022,TARGU MURES,713
758766,11350,1/12/2022,TARGU MURES,590
758771,10236,1/12/2022,CARANSEBES,581
758773,442,1/12/2022,TURDA,480
758783,12116,1/12/2022,ODORHEIU SECUIESC,202
758786,10550,1/12/2022,PITESTI,"1,346"
758791,12085,1/12/2022,MACEA,250
758793,8362,1/12/2022,CARANSEBES,267
758799,10892,1/12/2022,DARMANESTI,445
758801,10874,1/12/2022,SIGHETU MARMATIEI,0
758802,10874,1/12/2022,SIGHETU MARMATIEI,0
758808,7529,1/12/2022,CAREI,415
758816,442,1/12/2022,TURDA,"1,129"
758819,9212,1/12/2022,TUNARI,77
758826,1329,1/12/2022,ODORHEIU SECUIESC,"1,033"
758830,11797,1/12/2022,TIMISOARA,322
758834,9879,1/12/2022,BUCURESTI SECTORUL 4,272
758839,533,1/12/2022,BAIA MARE,495
758847,9080,1/12/2022,ZABALA,228
758852,476,1/12/2022,TARGU-MURES,144
758860,10590,1/12/2022,FAGARAS,671
758861,11010,1/12/2022,BUZIAS,-334
758863,7287,1/12/2022,SANGEORGIU DE MURES,803
758868,11010,1/12/2022,BUZIAS,401
