PartnerId,Purchase Frequency,DocumentDate,Sales,Date,RecencyScore,SalesScore,FrequencyScore,Total
9866.0,49.0,2022-12-28,17539.0,1,99.44598337950139,14.810380216987587,12.0,42.08545453216299
7189.0,48.0,2022-12-28,17306.0,1,99.44598337950139,14.620597530381522,11.75,41.9388603032943
954.0,47.0,2022-12-28,17125.0,1,99.44598337950139,14.473169778125305,11.5,41.80638438587557
12070.0,46.0,2022-12-28,16808.0,1,99.44598337950139,14.214967582184862,11.25,41.63698365389541
113.0,46.0,2022-12-28,16597.0,1,99.44598337950139,14.043104290880656,11.25,41.57969589012735
7287.0,46.0,2022-12-28,15971.0,1,99.44598337950139,13.533216042745902,11.25,41.4097331407491
1141.0,45.0,2022-12-28,15852.0,1,99.44598337950139,13.436288404522204,11.0,41.29409059467453
9214.0,44.0,2022-12-28,15669.0,1,99.44598337950139,13.287231616329457,10.75,41.16107166527695
11352.0,44.0,2022-12-28,14900.0,1,99.44598337950139,12.660867298732608,10.75,40.952283559411335
331.0,42.0,2022-12-28,14872.0,1,99.44598337950139,12.63806079562115,10.25,40.77801472504084
4775.0,41.0,2022-12-28,14717.0,1,99.44598337950139,12.511810510539862,10.0,40.652597963347084
11966.0,41.0,2022-12-28,14020.0,1,99.44598337950139,11.944091486658195,10.0,40.46335828871986
11301.0,41.0,2022-12-28,13841.0,1,99.44598337950139,11.798292770338515,10.0,40.4147587166133
1035.0,41.0,2022-12-28,13657.0,1,99.44598337950139,11.648421464177499,10.0,40.36480161455963
193.0,39.0,2022-12-28,13576.0,1,99.44598337950139,11.582445508747922,9.5,40.17614296274977
12215.0,39.0,2022-12-28,13575.0,1,99.44598337950139,11.581630990779656,9.5,40.17587145676035
6727.0,39.0,2022-12-28,13505.0,1,99.44598337950139,11.524614733001009,9.5,40.1568660375008
5390.0,39.0,2022-12-28,13022.0,1,99.44598337950139,11.131202554328349,9.5,40.02572864460991
161.0,39.0,2022-12-28,12925.0,1,99.44598337950139,11.05219431140651,9.5,39.999392563635965
10691.0,39.0,2022-12-28,12725.0,1,99.44598337950139,10.889290717753234,9.5,39.945091365751544
10874.0,38.0,2022-12-28,12653.0,1,99.44598337950139,10.830645424038055,9.25,39.84220960117981
7128.0,38.0,2022-12-28,12537.0,1,99.44598337950139,10.736161339719153,9.25,39.810714906406844
11945.0,38.0,2022-12-28,11990.0,1,99.44598337950139,10.290620011077445,9.25,39.66220113019295
5866.0,36.0,2022-12-28,11977.0,1,99.44598337950139,10.280031277489982,8.75,39.49200488566379
1804.0,36.0,2022-12-28,11909.0,1,99.44598337950139,10.224644055647868,8.75,39.47354247838309
